Date,Lower,Upper
02-Oct-20,3,9
09-Oct-20,2,6
16-Oct-20,2,5
23-Oct-20,2,5
30-Oct-20,2,5
06-Nov-20,2,5
13-Nov-20,0,3
20-Nov-20,0,3
27-Nov-20,0,2
04-Dec-20,-1,1
11-Dec-20,-1,1
18-Dec-20,3,6
23-Dec-20,4,8
08-Jan-21,1,6
15-Jan-21,-2,3
22-Jan-21,-7,-3
29-Jan-21,-7,-2
05-Feb-21,-8,-4
12-Feb-21,-6,-4
19-Feb-21,-8,-5
26-Feb-21,-8,-5
05-Mar-21,-7,-4
12-Mar-21,-8,-4
19-Mar-21,-7,-3
26-Mar-21,-5,-1
02-Apr-21,-5,-1
09-Apr-21,-5,0
16-Apr-21,-5,0
23-Apr-21,-5,1
30-Apr-21,-5,0
07-May-21,-3,1